State,City,Pages,Names,,,,Row Labels,Sum of Names
AA,Apo,1,1,,,,AA,1
AK,Anchorage,1,8,,,,AK,20
AK,Eagle River,1,1,,,,AL,90
AK,Fairbanks,1,4,,,,AP,0
AK,Girdwood,1,1,,,,AR,38
AK,Hoonah,1,1,,,,AZ,245
AK,Juneau,1,1,,,,CA,1527
AK,Ketchikan,1,1,,,,CO,396
AK,North Pole,1,1,,,,CT,75
AK,Sitka,1,0,,,,DC,13
AK,Sterling,1,1,,,,DE,41
AK,Wasilla,1,1,,,,FL,1005
AL,Alabaster,1,1,,,,GA,318
AL,Alpine,1,1,,,,GU,3
AL,Anniston,1,2,,,,HI,106
AL,ARAB,1,1,,,,IA,156
AL,Ashford,1,1,,,,ID,256
AL,Auburn,1,2,,,,IL,485
AL,Bessemer,1,1,,,,IN,217
AL,Birmingham,1,7,,,,KS,79
AL,Centreville,1,1,,,,KY,109
AL,Columbiana,1,1,,,,LA,27
AL,Cullman,1,1,,,,MA,168
AL,Dadeville,1,2,,,,MD,241
AL,Daphne,1,2,,,,ME,31
AL,Demopolis,1,0,,,,MI,314
AL,Eight Mile,1,1,,,,MN,264
AL,Elkmont,1,1,,,,MO,250
AL,Enterprise,1,1,,,,MS,49
AL,Fairhope,1,2,,,,MT,86
AL,Florence,1,2,,,,NC,342
AL,Foley,1,2,,,,ND,25
AL,Fultondale,1,1,,,,NE,38
AL,Gulf Shores,1,1,,,,NH,52
AL,Gurley,1,1,,,,NJ,171
AL,Hoover,1,1,,,,NM,51
AL,Hueytown,1,0,,,,NV,124
AL,Huntsville,1,8,,,,NY,534
AL,Irondale,1,1,,,,OH,458
AL,Leeds,1,1,,,,OK,68
AL,Mentone,1,1,,,,OR,298
AL,Mobile,1,5,,,,PA,540
AL,Montgomery,1,4,,,,PR,22
AL,Mountain Brook,1,2,,,,RI,17
AL,New Market,1,1,,,,SC,140
AL,Northport,1,2,,,,SD,25
AL,Owens Cross Roads,1,2,,,,TN,156
AL,Pelham,1,1,,,,TX,607
AL,Pinson,1,1,,,,UT,148
AL,Prattville,1,2,,,,VA,546
AL,Robertsdale,1,1,,,,VI,1
AL,Silverhill,1,2,,,,VT,48
AL,Smiths,1,1,,,,WA,412
AL,Somerville,1,1,,,,WI,233
AL,Spanish Fort,1,2,,,,WV,44
AL,Sylacauga,1,1,,,,WY,72
AL,Tallassee,1,2,,,,Grand Total,11782
AL,Theodore,1,2,,,,,
AL,Trussville,1,1,,,,,
AL,Tuscaloosa,1,6,,,,,
AL,Tuscumbia,1,1,,,,,
AL,Vestavia Hills,1,1,,,,,
AL,Waverly,1,1,,,,,
AL,Wetumpka,1,1,,,,,
AP,FPO,1,0,,,,,
AR,Alexander,1,2,,,,,
AR,Beebe,1,0,,,,,
AR,Bella Vista,1,0,,,,,
AR,Benton,1,4,,,,,
AR,Bentonville,1,2,,,,,
AR,BERRYVILLE,1,1,,,,,
AR,Conway,1,0,,,,,
AR,Dumas,1,1,,,,,
AR,El Dorado,1,1,,,,,
AR,Elkins,1,1,,,,,
AR,Fayetteville,1,5,,,,,
AR,Fort Smith,1,2,,,,,
AR,Gravette,1,1,,,,,
AR,Greenwood,1,0,,,,,
AR,Harrison,1,1,,,,,
AR,Hindsville,1,1,,,,,
AR,Hot Springs,1,0,,,,,
AR,Jessieville,1,1,,,,,
AR,Jonesboro,1,1,,,,,
AR,Little Rock,1,3,,,,,
AR,Lonoke,1,1,,,,,
AR,Maumelle,1,1,,,,,
AR,Mayflower,1,0,,,,,
AR,Monticello,1,0,,,,,
AR,Mountain Home,1,1,,,,,
AR,Mulberry,1,1,,,,,
AR,Perryville,1,1,,,,,
AR,Rogers,1,3,,,,,
AR,Royal,1,1,,,,,
AR,Searcy,1,0,,,,,
AR,Siloam Springs,1,2,,,,,
AZ,Amado,1,1,,,,,
AZ,Anthem,1,3,,,,,
AZ,Apache Junction,1,3,,,,,
AZ,Benson,1,1,,,,,
AZ,Buckeye,1,2,,,,,
AZ,Bullhead City,1,1,,,,,
AZ,Camp Verde,1,2,,,,,
AZ,Cave Creek,1,2,,,,,
AZ,Chandler,1,10,,,,,
AZ,Chino Valley,1,2,,,,,
AZ,Cottonwood,1,1,,,,,
AZ,Dewey,1,3,,,,,
AZ,Douglas,1,1,,,,,
AZ,El Mirage,1,1,,,,,
AZ,Flagstaff,1,11,,,,,
AZ,Fountain Hills,1,1,,,,,
AZ,Fredonia,1,1,,,,,
AZ,Gilbert,1,12,,,,,
AZ,Glendale,1,5,,,,,
AZ,Globe,1,1,,,,,
AZ,Gold Canyon,1,1,,,,,
AZ,Goodyear,1,6,,,,,
AZ,Kingman,1,2,,,,,
AZ,Lake Havasu City,1,1,,,,,
