OID,VEG_POINT_SOURCE,AUTO_ID,CIRCUITNAME,UNDERBUILD,UNIQUE_SEGMENT_ID,VP_STATUS,WORK_VERIFICATION_STATUS,PI_COMPANY,SPECIES,RWD_EXC,DEAD_DYING,DIAMETER,HEIGHT,TAT_RESULT,TREE_MATRIX_SCORE,IMPACT_MATRIX_SCORE,PRESCRIP,WOOD_MAN,TRAFFIC,ENVIRONMENTAL_CONCERN,PI_COMMENTS,TW_COMPANY,TW_SUB,TW_FOREMAN_ISN,TW_ACT_WORK,TW_WORK_DATE,TW_COMMENTS,TW_BILLING_TYPE,TW_READY_TO_INVOICE,TW_INVOICING_STATUS,WM_COMPANY,WM_SUB,WM_DATE,WM_COMMENTS,EVM_LAST_EDITOR,EVM_LAST_EDITED,REGION,DIVISION,PARCEL_NAME,SITE_ADDRESS,PROPERTY_CITY,Creator,Created,Editor,Edited,GlobalID,UNIQUE_PARCEL_ID,EVM_SYNC_ID
-1,PI,VP_AW115-G23_007747,BRUNSWICK 1105,No,CIP_AW115-G23_386253,Hold,,Need to Update Company Name,Douglas Fir,No,No,0,64,,,,NW_No Work,Haul offsite,Yes,,PLEASE DELETE,,,,,,,Unit,,,,,,PLEASE DELETE,amchuj_awrr,5/11/2020 17:32:03,Sierra,SI_Sierra,1051698803,13176 SUMMIT RIDGE DR,NEVADA CITY,admin_evmprod,5/18/2019 23:35:29,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-G23_821069,bfa9d23f-a2d5-4d6a-9724-95cb99f9795d
-1,PI,VP_AW115-G23_007901,BRUNSWICK 1105,No,CIP_AW115-G23_386253,Hold,,Need to Update Company Name,Bigleaf Maple,No,No,0,64,,,,NW_No Work,Haul offsite,No,,PLEASE DELETE,,,,,,,Unit,,,,,,PLEASE DELETE,amchuj_awrr,5/11/2020 17:33:39,Sierra,SI_Sierra,1051698803,13176 SUMMIT RIDGE DR,NEVADA CITY,admin_evmprod,5/18/2019 23:35:29,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-G23_821069,190757f9-a4c2-4aaf-88d9-5c1137f0b531
-1,PI,VP_AW115-G24_047287,BRUNSWICK 1105,No,CIP_AW115-G24_382232,Work Identified,,JEF_Jefferson Resources,Ponderosa Pine,No,No,24,80,Do Not ABATE,,,F3B_FP-Rmv3 B,Haul offsite,No,None Observed,"0.8 span from pole 44f to 44g, 30’ north of line ",,,,,,,Unit,,,,,,Cut all wood to firewood lengths  14” and scatter chips,sdemaj_awrr,5/12/2020 19:41:55,Sierra,SI_Sierra,1051698726,16376 GOLD BUG RD,NEVADA CITY,admin_evmprod,5/18/2019 23:35:43,BE_geomartawrrprod,5/13/2020 14:30:39,{00000000-0000-0000-0000-000000000000},LP_AW115-G24_818237,ca94c198-13ae-4f41-9c4f-5716ac348ba8
-1,PI,VP_AW115-G19_033573,BRUNSWICK 1105,No,CIP_AW115-G19_379401,Hold,,Need to Update Company Name,Black Oak,No,No,0,80,Not a Strike Tree,,,NW_No Work,Not Needed,No,None Observed,Please delete ,,,,,,,Unit,,,,,,,rsoulj_awrr,5/13/2020 17:20:47,Sierra,SI_Sierra,1051698883,12981 SUMMIT RIDGE DR,NEVADA CITY,admin_evmprod,5/18/2019 23:37:55,BE_geomartawrrprod,5/13/2020 18:32:29,{00000000-0000-0000-0000-000000000000},LP_AW115-G24_821506,772cba30-2f3f-46da-a20f-9b3c6dacccd2
-1,PI,VP_AW115-G23_007893,BRUNSWICK 1105,No,CIP_AW115-G23_386253,Refusal,,Need to Update Company Name,Ponderosa Pine,No,No,0,90,,,,Remove,Haul offsite,Yes,,PLEASE DELETE,,,,,,,Unit,,,,,,N/A,amchuj_awrr,5/11/2020 22:00:59,Sierra,SI_Sierra,1051698803,13176 SUMMIT RIDGE DR,NEVADA CITY,admin_evmprod,5/18/2019 23:39:04,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-G23_821069,89efe875-ed89-4aac-b59f-ecab35d53f62
-1,PI,VP_AW115-G24_044639,BRUNSWICK 1105,No,CIP_AW115-G24_380566,No Work Required Under EVM,,JEF_Jefferson Resources,Ponderosa Pine,No,No,38,120,Do Not ABATE,,,NW_No Work,Not Needed,Yes,None Observed,"Tree .2 of span from poles 36 to 37, 70ft west of line. ",,,,,,,Unit,,,,,,TBD,kfenkj_awrr,5/12/2020 18:35:36,Sierra,SI_Sierra,1051698750,16562 BANNER QUAKER HILL RD,NEVADA CITY,admin_evmprod,5/18/2019 23:43:56,BE_geomartawrrprod,5/12/2020 20:32:29,{00000000-0000-0000-0000-000000000000},LP_AW115-G24_820664,8efc88bb-0ba7-4ab6-b39b-0b91057a23fe
-1,PI,VP_AW115-G24_1034852_2019,BRUNSWICK 1105,No,CIP_AW115-G24_378178,In-Progress,,JEF_Jefferson Resources,Black Oak,No,No,33,70,,3,4,FOA_FP-Ov A,Cut and Leave,No,,"0.5 span from H to I. 40 ft West of line, right side of driveway: Combined dbh, 2 stems ",MFE_Mountain F Enterprises,,,,,,Unit,,,,,,Pending owner contact ,atylej_awrr,5/12/2020 20:07:11,Sierra,SI_Sierra,1051698734,14068 GAS CANYON RD,NEVADA CITY,eculhj_awrr,12/3/2019 23:25:57,BE_geomartawrrprod,5/12/2020 22:32:49,{00000000-0000-0000-0000-000000000000},LP_AW115-G24_815609,e2104579-3775-44b5-994f-02a75e6119f3
-1,PI,VP_AW115-G24_1091313_2019,BRUNSWICK 1105,No,CIP_AW115-G24_383007,No Work Required Under EVM,,JEF_Jefferson Resources,Ponderosa Pine,No,No,9,28,,3,3,F1A_FP-Rmv1 A,Cut and Leave,No,,"9” PP, 0.8 span between poles 11/12 previously topped, underneath lines. Please delete point",,,,,,,Unit,,,,,,,eculhj_awrr,5/13/2020 17:25:40,Sierra,SI_Sierra,1051698535,13300 SAILOR FLAT RD,NEVADA CITY,efagaj_awrr,12/11/2019 21:01:25,BE_geomartawrrprod,5/13/2020 18:32:29,{00000000-0000-0000-0000-000000000000},LP_AW115-G24_816533,3ee67679-b41c-437a-aafd-9544094db8d5
-1,PI,VP_AW115-G24_1119062_2019,BRUNSWICK 1105,No,CIP_AW115-G24_383007,No Work Required Under EVM,,JEF_Jefferson Resources,Douglas Fir,No,No,48,100,,4,3,R4B_Rmv 4-B,Cut and Leave,No,,0.9 span pole 11 to pole 12 20 ft east of line. Moderate lean towards line on slope above drainage. Multistem not a heritage tree. Please delete point,,,,,,,Unit,,,,,,Tbd,eculhj_awrr,5/13/2020 17:26:12,Sierra,SI_Sierra,1051698535,13300 SAILOR FLAT RD,NEVADA CITY,cwongj_awrr,12/18/2019 0:19:58,BE_geomartawrrprod,5/13/2020 18:32:29,{00000000-0000-0000-0000-000000000000},LP_AW115-G24_816533,6d49ab7e-48bf-428b-bd0a-5abceeb28348
-1,PI,VP_AW115-G24_1127869_2019,BRUNSWICK 1105,No,CIP_AW115-G24_383007,No Work Required Under EVM,,JEF_Jefferson Resources,Ponderosa Pine,No,No,11,67,,3,4,F1B_FP-Rmv1 B,Cut and Leave,No,,"11” PP, 0.5 span between poles 11/12, 24 NW of lines, on downhill side mid slope of through fill. Please delete point",,,,,,,Unit,,,,,,,eculhj_awrr,5/13/2020 17:25:24,Sierra,SI_Sierra,1051698528,13460 SAILOR FLAT RD,NEVADA CITY,efagaj_awrr,12/19/2019 19:01:48,BE_geomartawrrprod,5/13/2020 18:32:29,{00000000-0000-0000-0000-000000000000},LP_AW115-G24_819131,06f12302-d72f-44da-b56b-7b39908be16d
